State,NHA % known Cases,NHA % known Death,Poulation,Diabetes,Poverty,Region,Race
Alabama,0.592666027,0.346470333,1.4,NA,10.7,South,NHA
Alaska,5.369340747,7.272727273,6,8.5,NA,West,NHA
Arizona,1.506659193,1.315265046,3.3,8.6,11.5,West,NHA
Arkansas,1.291453655,1.30399348,1.6,NA,12.5,South,NHA
California,5.527589254,11.78138696,14.7,10.6,9,West,NHA
Colorado,2.293813551,3.222453222,3.2,9,8.2,West,NHA
Connecticut,2.079376434,1.097178683,4.6,8.1,8.8,Northeast,NHA
Delaware,1.432332807,0.157232704,3.9,7.4,8.4,South,NHA
District of Columbia,1.625589932,1.288244767,3.7,5.8,12.6,South,NHA
Georgia,2.134259259,1.875631222,4.1,2.8,9.6,South,NHA
Hawaii,35.23505249,55.03875969,39.4,NA,9.1,West,NHA
Idaho,1.10775428,0.646551724,1.2,NA,19.9,West,NHA
Illinois,2.999571555,4.459491011,5.6,5.6,10.2,Midwest,NHA
Indiana,1.427766885,0.568900126,2.4,2.9,13.3,Midwest,NHA
Iowa,3.573631561,2.263202012,2.3,5.1,11.7,Midwest,NHA
Kansas,3.025477707,2.354788069,2.8,11.6,12.7,Midwest,NHA
Kentucky,1.109057301,1.119402985,1.6,NA,12.6,South,NHA
Louisiana,5.558339849,0.677710843,1.7,NA,11,South,NHA
Maine,2.399837299,0,1.1,NA,NA,Northeast,NHA
Maryland,2.229819707,3.783646521,6.4,12.9,8.1,South,NHA
Massachusetts,3.084506749,2.489626556,6.7,5.1,10.7,Northeast,NHA
Michigan,2.25223684,1.319988396,3.2,9.6,10.4,Midwest,NHA
Minnesota,5.841691816,4.639684107,4.9,6.9,9.4,Midwest,NHA
Mississippi,0.421102718,0.241046832,1,NA,11,South,NHA
Missouri,1.232678338,1.206636501,2.1,5.7,13.6,Midwest,NHA
Nebraska,4.705190413,4.054054054,2.4,5.6,15.1,Midwest,NHA
Nevada,7.625913721,12.44196843,8.5,8,9.9,West,NHA
New Hampshire,3.080082136,0.934579439,2.6,9,NA,Northeast,NHA
New Jersey,5.031164186,5.517590483,9.6,13.2,5.8,Northeast,NHA
New Mexico,0.749713779,0.458190149,1.6,5.2,12.8,West,NHA
North Carolina,1.943611278,1.337693222,2.9,6.6,7.9,South,NHA
Ohio,2.801420521,1.036379019,2.3,1.6,9.8,Midwest,NHA
Oklahoma,4.017340224,2.5,2.1,5.1,15,South,NHA
Oregon,3.304918476,3.861788618,4.7,9.1,11.8,West,NHA
Pennsylvania,3.309585867,2.066575919,3.5,4.9,12.7,Northeast,NHA
Rhode Island,1.947009233,1.430143014,3.3,7.7,6.2,Northeast,NHA
South Carolina,1.316838462,0.795572466,1.7,10.8,9,South,NHA
South Dakota,3.604448613,2.242152466,1.3,NA,NA,Midwest,NHA
Tennessee,1.072164462,0.941080196,1.8,NA,7.2,South,NHA
Texas,1.70020377,1.87561055,5,4,9.2,South,NHA
Utah,2.513440452,5.529953917,2.3,4.7,12.2,West,NHA
Vermont,3.786574871,3.448275862,1.6,NA,NA,Northeast,NHA
Virginia,3.873758136,4.7819063,6.7,11.9,7,South,NHA
Washington,4.899493272,7.522759943,8.9,5.2,8.2,West,NHA
Wisconsin,2.567317452,2.737642586,3,0.4,10.7,Midwest,NHA
Wyoming,0.728559534,0,0.6,NA,NA,West,NHA
