State,NHB % known Cases,NHB % known Death,Poulation,Obesity,Diabetes,Over60,Poverty,High_BP,CVD,Region,Race
Alabama,36.56964903,41.01342573,26.5,32.06353591,32.48014406,20.9,23.6,30.10501193,23.00775194,South,NHB
Alaska,6.163621922,3.636363636,2.2,NA,5.28955374,2.3,NA,3.618238994,NA,West,NHB
Arizona,4.438572611,3.56715823,4.3,4.766440678,5.421996965,2.7,17.5,4.706188925,4.253763441,West,NHB
Arkansas,23.40943765,21.84189079,15.2,18.02695418,18.72213354,11.2,28.9,17.55544794,12.43636364,South,NHB
California,4.266892364,7.643722609,5.3,8.217054264,8.219396974,5.4,19.3,8.584507042,6.644776119,West,NHB
Colorado,5.022424595,6.392931393,3.8,5.144104803,5.78802263,2.9,19.7,4.973745174,4.053333333,West,NHB
Connecticut,18.29752596,14.82310793,10,13.32116788,17.55240629,7.1,18.4,11.83606557,8.266666667,Northeast,NHB
Delaware,28.70458136,25.62893082,21.8,26.68059701,28.97096803,15.5,17.3,24.61088825,20.84175824,South,NHB
District of Columbia,50.85212375,75.20128824,45,68.13765182,83.30969415,57.4,23.4,69.43820225,78.046875,South,NHB
Florida,19.36488752,19.08474823,15,18.51791531,19.58186956,9.6,19.8,15.56358382,12.54545455,South,NHB
Georgia,34.98737374,41.37931034,31.3,39.10092308,38.27462757,25,19.1,32.90755287,28.94408602,South,NHB
Hawaii,2.49505553,3.875968992,1.2,1.662650602,NA,0.8,NA,1.282352941,NA,West,NHB
Idaho,1.327147173,0.862068966,0.7,NA,NA,0.3,NA,NA,NA,West,NHB
Illinois,18.1049964,25.98645809,13.6,18.17610063,17.2355547,12,24.1,16.89440994,13.92771084,Midwest,NHB
Indiana,12.04059071,14.1908976,9.2,10.62991202,10.85180503,6.6,25,11.91818182,10.20363636,Midwest,NHB
Iowa,7.148604071,4.274937133,3.9,5.049008499,6.107919951,1.4,30.5,3.739047619,3.562962963,Midwest,NHB
Kansas,8.366927356,13.6577708,5.5,6.587209302,8.709630907,4,20.8,6.69054878,6.674157303,Midwest,NHB
Kentucky,12.04487813,12.87313433,8,9.114754098,8.662780068,5.9,23.6,9.827411168,7.619047619,South,NHB
Louisiana,40.44263577,45.89608434,31.9,40.04836957,40.61314269,25.8,29.4,34.5174359,28.29391304,South,NHB
Maine,19.89017694,3.2,1.4,NA,NA,0.4,29.1,NA,NA,Northeast,NHB
Maryland,37.31288309,40.93448451,29.6,37.07184466,37.83815468,25.5,12.8,34.35061728,28.55529412,South,NHB
Massachusetts,12.93392125,8.149803171,7,7.299610895,9.446358551,4.9,17.8,8.15034965,5.561643836,Northeast,NHB
Michigan,23.49323388,39.00493182,13.4,16.36424242,17.95295942,10.6,26.7,17.30028818,14.22040816,Midwest,NHB
Minnesota,18.7733002,9.624876604,6.4,6.846511628,7.893800776,2.5,26.9,6.544360902,5.435616438,Midwest,NHB
Mississippi,45.62184024,47.14187328,37.6,43.50177215,42.77078512,28.9,30.5,42.39215686,36.95172414,South,NHB
Missouri,20.57878192,28.95927602,11.2,14.496,13.94552727,8.4,20,13.44,12.30891089,Midwest,NHB
Nebraska,6.763711219,7.432432432,4.8,6.024633431,6.608659771,2.7,14.6,6.964705882,4.492307692,Midwest,NHB
Nevada,8.303363833,12.25626741,9.2,13.59728814,13.57006884,6.7,21.2,11.09079755,12.3655914,West,NHB
New Hampshire,5.229295003,2.102803738,1.3,NA,NA,0.6,NA,NA,NA,Northeast,NHB
New Jersey,16.00484859,18.03973678,12.4,16.565625,18.6987384,10.4,16.3,15.48121212,12.55308642,Northeast,NHB
New Mexico,1.931528604,1.145475372,1.7,1.621052632,4.573601758,1.5,22.1,1.989836066,3.876829268,West,NHB
North Carolina,23.26274745,30.14268728,20.9,28.37333333,27.3303287,17.9,21.1,25.65821326,17.00686275,South,NHB
Ohio,22.26314863,18.2106599,12.2,12.95352941,13.27323851,9.4,27,14.02824207,12.3184466,Midwest,NHB
Oklahoma,8.785901889,6.875,6.9,8.605172414,8.309426983,5.4,28.2,7.485676393,6.48362069,South,NHB
Oregon,3.89012922,2.642276423,1.8,2.311705686,NA,1.1,27.3,1.495016611,NA,West,NHB
Pennsylvania,24.12974225,20.64100978,10.4,14.10226537,16.49214773,7.5,24.6,13.11165644,12.18585859,Northeast,NHB
Rhode Island,12.36953031,6.160616062,5.9,7.966064982,6.090628513,3.6,24.3,6.309969789,4.938043478,Northeast,NHB
South Carolina,36.20086476,40.78173642,26.2,31.92886297,34.63125638,21.5,23.2,31.21994751,24.92815534,South,NHB
South Dakota,5.734959132,0.896860987,2.2,NA,NA,0.5,NA,NA,NA,Midwest,NHB
Tennessee,21.04122756,27.2913257,16.4,20.35697674,16.95438771,12.1,21.3,17.71369509,16.26666667,South,NHB
Texas,18.86568178,11.31878867,11.7,13.3137931,13.91031855,10,18.4,17.136,11.95714286,South,NHB
Utah,2.237037937,1.612903226,1,1.476534296,1.302340829,0.6,43.8,1.93877551,NA,West,NHB
Virginia,25.41880781,26.97899838,18.9,25.07524752,26.67026173,16.5,16.1,26.075,18.6695122,South,NHB
Washington,5.894493104,3.306181121,3.8,4.581184669,7.345022392,2.4,15.7,3.86440678,4.433333333,West,NHB
West Virginia,5.805148915,2.601156069,3.2,3.515949367,2.543194156,2.5,27.4,3.089655172,1.775483871,South,NHB
Wisconsin,10.18227101,18.02281369,6.2,6.93625,6.806160171,3.4,24.5,6.24025974,7.44,Midwest,NHB
Wyoming,1.144879267,2.43902439,1,NA,NA,0.7,NA,NA,NA,West,NHB
